disposition_code_sk,queue_sk,agent_sk,etl_ticket_id,last_changed,partition_key,redacted,abandoned_indicator,acw_end_timestamp,acw_end_timestamp_utc_quarter_hour_sk,acw_indicator,acw_start_timestamp,acw_start_timestamp_utc_quarter_hour_sk,agent_initiated_disconnect,barge_end_timestamp,barge_end_timestamp_utc_quarter_hour_sk,barge_indicator,barge_start_timestamp,barge_start_timestamp_utc_quarter_hour_sk,barge_timestamp,barge_timestamp_utc_quarter_hour_sk,business_accountname,channel_id,channel_type,coach_indicator,coach_timestamp,coach_timestamp_utc_quarter_hour_sk,dialog_end_time,dialog_end_time_utc_quarter_hour_sk,dialog_id,dialog_start_time,dialog_start_time_utc_quarter_hour_sk,direction,engagement_end_time,engagement_end_time_utc_quarter_hour_sk,engagement_id,engagement_start_time,engagement_start_time_utc_quarter_hour_sk,external_call_indicator,external_participant_id,message_type,observe_indicator,provider_id,send_from,send_to,subject,transfer_indicator,answered_timestamp,calling_number,dialled_number,emergency_indicator,answered_timestamp_utc_quarter_hour_sk,offered_attributes,queued_attributes,conference_indicator,consult_accepted_from_user_indicator,consult_initiated_to_user_indicator,consult_accepted_from_queue_indicator,consult_initiated_to_queue_indicator,conference_to_external_indicator,consult_to_external_indicator,consult_to_external_number,warm_transfer_to_external_indicator,warm_transfer_to_queue_indicator,warm_transfer_to_user_indicator,engagement_source,engagement_offered_time,engagement_queued_time,engagement_offered_time_utc_quarter_hour_sk,engagement_queued_time_utc_quarter_hour_sk,source_address,supervisor_sk,agent_id,agent_login_id,agent_first_name,agent_last_name,agent_display_name,agent_user_handle,agent_type,row_active_date,row_inactive_date,active_record,is_unknown,entity_deleted,attributes,queue_id,queue_name,queue_description,is_default,disposition_code_id,disposition_code_type,disposition_code_name,disposition_code_number,disposition_code_description
,2,-2,47232,2024-04-12 09:31:51.199734+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:21:21.846+00,202404120915,09989350261712913656,2024-04-12 09:20:57.356+00,202404120915,INCOMING,2024-04-12 09:21:21.846+00,202404120915,38189e04-2e2a-4251-9432-85357362bd62,2024-04-12 09:20:57.356+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:21:14.675+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47397,2024-04-12 09:31:51.190894+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:25:19.018+00,202404120915,07626063441712913616,2024-04-12 09:20:17.062+00,202404120915,INCOMING,2024-04-12 09:25:19.018+00,202404120915,ab8aa265-d9f2-4135-afa6-9012909e3b41,2024-04-12 09:20:17.062+00,202404120915,,+33146385503,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+33146385503,+18022940681,,,,[Department.Support],,,,,,,,,,,,NA,,2024-04-12 09:20:42.03+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47197,2024-04-12 09:31:51.192946+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:20:30.576+00,202404120915,07626063431712913608,2024-04-12 09:20:08.843+00,202404120915,INCOMING,2024-04-12 09:20:30.576+00,202404120915,e75093f3-4d07-4448-bcbb-94c24835a40a,2024-04-12 09:20:08.843+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:20:23.42+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,2,-2,47155,2024-04-12 09:31:51.199453+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:19:50.842+00,202404120915,07626063411712913564,2024-04-12 09:19:25.129+00,202404120915,INCOMING,2024-04-12 09:19:50.842+00,202404120915,35b68e88-0db0-42e0-a283-d1822fcb79fc,2024-04-12 09:19:25.129+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,[Department.Accounts],,,,,,,,,,,,NA,,2024-04-12 09:19:42.838+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,,-2,47117,2024-04-12 09:31:51.192984+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:19:10.472+00,202404120915,09989350211712913534,2024-04-12 09:18:55.248+00,202404120915,INCOMING,2024-04-12 09:19:10.472+00,202404120915,64aa4791-4d36-4e96-87ff-dc906f321e3f,2024-04-12 09:18:55.248+00,202404120915,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,2,-2,47148,2024-04-12 09:31:51.19403+00,20240412,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-12 09:19:46.471+00,202404120915,07626063391712913515,2024-04-12 09:18:36.227+00,202404120915,INCOMING,2024-04-12 09:19:46.471+00,202404120915,911e8d26-7111-4a8b-9739-741bb7673b48,2024-04-12 09:18:36.227+00,202404120915,,+33146385503,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+33146385503,+18022940681,,,,[Department.Support],,,,,,,,,,,,NA,,2024-04-12 09:19:05.869+00,,202404120915,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,b4c28c2d-7e68-4d42-bd93-0295451cc9dd,VoiceQ,Voice Queue,f,,,,,
,,-2,47036,2024-04-10 15:16:44.749058+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:13:44.001+00,202404101500,09989567811712762010,2024-04-10 15:13:30.778+00,202404101500,INCOMING,2024-04-10 15:13:44.001+00,202404101500,b6f42751-5c38-4def-ba13-4dc7165a2f15,2024-04-10 15:13:30.778+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,47016,2024-04-10 15:16:44.744157+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:13:15.23+00,202404101500,09989567601712761975,2024-04-10 15:12:56.063+00,202404101500,INCOMING,2024-04-10 15:13:15.23+00,202404101500,d19b70c9-f8b5-4fb0-89e1-ee81a8318eac,2024-04-10 15:12:56.063+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46997,2024-04-10 15:16:44.740262+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:12:31.991+00,202404101500,09989567421712761937,2024-04-10 15:12:17.607+00,202404101500,INCOMING,2024-04-10 15:12:31.991+00,202404101500,5ca29ed3-8426-452d-b0cd-d4dd7d6b7755,2024-04-10 15:12:17.607+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46979,2024-04-10 15:16:44.739321+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:11:57.528+00,202404101500,09989567271712761901,2024-04-10 15:11:42.524+00,202404101500,INCOMING,2024-04-10 15:11:57.528+00,202404101500,69c51ecc-b7b3-4a76-8e59-ea8354115397,2024-04-10 15:11:42.524+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46960,2024-04-10 15:16:44.747009+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:11:24.637+00,202404101500,09989567001712761868,2024-04-10 15:11:08.936+00,202404101500,INCOMING,2024-04-10 15:11:24.637+00,202404101500,2c73ca83-624e-4cac-acfe-f3c05f1c7741,2024-04-10 15:11:08.936+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46941,2024-04-10 15:16:44.746336+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:10:51.104+00,202404101500,09989566811712761836,2024-04-10 15:10:36.937+00,202404101500,INCOMING,2024-04-10 15:10:51.104+00,202404101500,3770a518-3779-40a6-9fa5-919ad828ab7b,2024-04-10 15:10:36.937+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46922,2024-04-10 15:16:44.74441+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:10:26.9+00,202404101500,09989566601712761811,2024-04-10 15:10:11.872+00,202404101500,INCOMING,2024-04-10 15:10:26.9+00,202404101500,4d194041-b919-4955-affa-8ccf0bbe5914,2024-04-10 15:10:11.872+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46898,2024-04-10 15:16:44.741579+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:09:25.583+00,202404101500,09989566171712761745,2024-04-10 15:09:06.25+00,202404101500,INCOMING,2024-04-10 15:09:25.583+00,202404101500,6c81310f-874c-418a-b765-4aaffbba9f86,2024-04-10 15:09:06.25+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46878,2024-04-10 15:16:44.7458+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:08:43.329+00,202404101500,07626244461712761705,2024-04-10 15:08:25.571+00,202404101500,INCOMING,2024-04-10 15:08:43.329+00,202404101500,3d9b96df-3537-4bad-96dc-140a1d66e703,2024-04-10 15:08:25.571+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46858,2024-04-10 15:16:44.741385+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:08:20.318+00,202404101500,09989565811712761686,2024-04-10 15:08:06.425+00,202404101500,INCOMING,2024-04-10 15:08:20.318+00,202404101500,3b3fb9d1-9050-4e68-9a4a-fd5f3ef3f6b2,2024-04-10 15:08:06.425+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46838,2024-04-10 15:16:44.736224+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:08:03.177+00,202404101500,07626244341712761669,2024-04-10 15:07:50.215+00,202404101500,INCOMING,2024-04-10 15:08:03.177+00,202404101500,98de5d60-b182-4d7f-814a-cb1022e553ba,2024-04-10 15:07:50.215+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46820,2024-04-10 15:16:44.743205+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:07:35.131+00,202404101500,09989565461712761641,2024-04-10 15:07:22.354+00,202404101500,INCOMING,2024-04-10 15:07:35.131+00,202404101500,2accc362-c733-415e-b920-74dbf1db3b02,2024-04-10 15:07:22.354+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46802,2024-04-10 15:16:44.742789+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:07:17.33+00,202404101500,09989565361712761623,2024-04-10 15:07:04.255+00,202404101500,INCOMING,2024-04-10 15:07:17.33+00,202404101500,3ece9b0d-881b-49e6-b68c-ae3aee11fe8d,2024-04-10 15:07:04.255+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46783,2024-04-10 15:16:44.742864+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:06:58.718+00,202404101500,09989565241712761599,2024-04-10 15:06:40.451+00,202404101500,INCOMING,2024-04-10 15:06:58.718+00,202404101500,0df021a9-da04-4de0-b66c-2365714abb43,2024-04-10 15:06:40.451+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
,,-2,46764,2024-04-10 15:16:44.745612+00,20240410,f,t,,,,,,,,,,,,,,,Voice,Voice,,,,2024-04-10 15:06:36.331+00,202404101500,09989565141712761580,2024-04-10 15:06:21.1+00,202404101500,INCOMING,2024-04-10 15:06:36.331+00,202404101500,6607f6bb-a99f-4359-981f-bb5e342d959e,2024-04-10 15:06:21.1+00,202404101500,,+35391733561,,f,deb72cc2-d1e1-48f5-98ed-791261b0c7d0,,,,f,,+35391733561,+18022940681,,,,,,,,,,,,,,,,NA,,,,,NA,-1,-2,unknown,null,value,null value,null value,null,1970-01-01 00:00:00+00,9999-12-31 00:00:00+00,t,f,f,,,,,,,,,,
